label,rollout_step,target_frame_idx,mse,psnr
Latest Post-trained (batch234003),22,22,6.405225809232719e-05,41.93465555072288
Latest Post-trained (batch234003),23,23,7.64495867022221e-05,41.16624858105546
Latest Post-trained (batch234003),24,24,8.642673668418521e-05,40.6335188485723
Latest Post-trained (batch234003),25,25,0.0001057774153730226,39.75607048991715
Latest Post-trained (batch234003),26,26,0.00012022004521206213,39.20023113038959
Latest Post-trained (batch234003),27,27,0.0001289891029791857,38.894469774209455
Latest Post-trained (batch234003),28,28,0.00014916512811062287,38.26332694552732
Latest Post-trained (batch234003),29,29,0.00014942114678572635,38.255879347666465
Latest Post-trained (batch234003),30,30,0.0001730791272670143,37.61755303351263
Latest Post-trained (batch234003),31,31,0.00016822632703471165,37.74106037127996
